#,sku_yooga,produto,linhas,categoria,sku_atual_sugerido,motivo,SEU_SKU_CORRETO
1,MD,Madeleine,30164,Pães Finos,MADELEINE,nome idêntico,
2,CT,Croissant Tradicional,21298,Pães Finos,CROISSANT,nome contido,
3,PC,Pain Au Chocolat,19709,Pães Finos,PAIN-CHOCOLAT,nome idêntico,
4,CI,Ciabatta,14570,Pães Rústicos,CIABATTA,nome idêntico,
5,CM,Croissant Mini,13195,Pães Finos,CROISSANT,nome contido,
6,BCH,Brioche Chocolat,11983,Pães Finos,,,
7,BBB,Brioche Burger Bun - Unidade,10849,Pães Finos,BRIOCHE-BURGER,parecido 50%,
8,CN,Chausson,10711,Pães Finos,,,
9,TB,Tabatière,9668,Pães Rústicos,TABATIERE,nome idêntico,
10,PH,Hambúrguer Artesanal 100g,9034,Pães Rústicos,,,
11,PR,Pain Aux Raisins,8866,Pães Finos,,,
12,BF,Baguete Francesa,8702,Pães Rústicos,,,
13,FE,Fendu,8590,Pães Rústicos,FENDU,nome idêntico,
14,SS,Espresso,7951,Cafés,ESPRESSO,nome idêntico,
15,BH,Bichon Au Citron,7609,Pães Finos,,,
16,FA,Forma Artesanal - 6 Fatias,7274,Pães Finos,,,
17,PS,Cappuccino,6832,Cafés,CAPPUCCINO,nome idêntico,
18,ME,Melon,6820,Pães Finos,MELON-PAN,nome contido,
19,HO,Hot Dog Vienna,6591,Pães Finos,,,
20,CO,Cornet,6587,Pães Finos,CORNET,nome idêntico,
21,BAP,Baguete Lanche,6546,Pães Rústicos,,,
22,PHO,Pão Para Hot Dog - Unidade,6360,Pães Finos,PAO-HOTDOG,parecido 57%,
23,DL,Deli Milho & Bacon,6029,Pães Finos,,,
24,BAX,Italiano Rústico,5998,Pães Rústicos,,,
25,COC,Cornet de Chocolate,5886,Pães Finos,CORNET,nome contido,
26,CPQ,Croissant Presunto e Queijo,5660,Pães Finos,CROISSANT,nome contido,
27,CF,Baguette Campagne,5518,Pães Rústicos,,,
28,FF,Folhado de Frango,5387,Pães Finos,,,
29,CGO,Pain de Campagne Oval,5012,Pães Rústicos,CAMPAGNE,nome contido,
30,SL,Espresso Macchiato,4899,Cafés,ESPRESSO,nome contido,
31,MA,Maçã,4433,Pães Finos,,,
32,ANC,Coelhinho,4335,Pães Finos,,,
33,JO,Caranguejo,4211,Pães Finos,,,
34,CH,Challah,4110,Pães Finos,,,
35,BE,Baguete Gergelim,3989,Pães Rústicos,BAGUETE-GERGELIM,nome idêntico,
36,BN,Brioche Nanterre,3775,Pães Finos,,,
37,CL,Caffè Latte,2960,Cafés,,,
38,ANU,Ursinho,2841,Pães Finos,,,
39,KP,Kuro Pan,2583,Pães Finos,KURO-PAN,nome idêntico,
40,CPX,Campagne Passas e Castanhas,2476,Pães Rústicos,CAMPAGNE-PASSAS,parecido 75%,
41,CQ,Chocolate Quente,2219,Cafés,,,
42,BA,Bâtard,2076,Pães Rústicos,,,
43,FP,Frappé Chocolate,1589,Cafés,FRAPPE,nome contido,
44,CMO,Croque Monsieur,1537,Sanduíches & Tartines,CROQUE-MONSIEUR,nome idêntico,
45,ANP,Porquinho,1489,Pães Finos,,,
46,MH,Mocha,1398,Cafés,MOCHACCINO,nome contido,
47,MICBT,Mini Focaccia Cebola Bacon e Tomilho,1367,Pães Rústicos,,,
48,FOA,Focaccia Alecrim,1363,Pães Rústicos,,,
49,CBT,"Focaccia Cebola, Bacon e Tomilho",1355,Pães Rústicos,,,
50,MIF,Mini Focaccia Alecrim,1316,Pães Rústicos,,,
51,MBBB,Brioche Burger Bun - Unidade - METADE DO PREÇO,1307,Pães Finos,,,
52,MMD,Madeleine - METADE DO PREÇO,1306,Pães Finos,MADELEINE,nome contido,
53,MC,Mocaccino,1268,Cafés,,,
54,CGR,Pain de Campagne Redondo,1235,Pães Rústicos,CAMPAGNE,nome contido,
55,QQ,Queijo Quente,1164,Sanduíches & Tartines,QUEIJO-QUENTE,nome idêntico,
56,PI,Pita - Unidade,1158,Pães Finos,,,
57,CTV,Chá Tônica Frutas Vermelhas,852,Cafés,,,
58,CMA,Croque Madame,839,Sanduíches & Tartines,CROQUE-MADAME,nome idêntico,
59,MPHO,Pão Para Hot Dog - Unidade - METADE DO PREÇO,823,Pães Finos,,,
60,MFA,Forma Artesanal - 6 Fatias - METADE DO PREÇO,757,Pães Finos,,,
61,KBB,Kuro Pan Burger,679,Pães Finos,KURO-PAN,nome contido,
62,PPU,Pain Perdu,633,Sobremesas,PAIN-PERDU,nome idêntico,
63,SE,Vienna,577,Cafés,,,
64,HI,Chá Hibisco,428,Cafés,,,
65,JB,Jambon Beurre,372,Sanduíches & Tartines,JAMBON-BEURRE,nome idêntico,
66,CCOM,Croque Completo,304,Sanduíches & Tartines,CROQUE-COMPLET,nome contido,
67,COMBO,Soft Chai + Torradas & Patês,290,Festival Chai,,,
68,MCH,Challah - METADE DO PREÇO,274,Pães Finos,,,
69,TX,Taxa de Entrega,243,,,,
70,MBCH,Brioche Chocolat - METADE DO PREÇO,207,Pães Finos,,,
71,MME,Melon - METADE DO PREÇO,182,Pães Finos,,,
72,MKP,Kuro Pan - ( METADE DO PREÇO),177,Pães Finos,KURO-PAN,nome contido,
73,MCT,Croissant Tradicional - METADE DO PREÇO,177,Pães Finos,CROISSANT,nome contido,
74,MIPHO,Mini Pão Para Hot Dog - Unidade,159,Pães Finos,PAO-HOTDOG,parecido 50%,
75,MBN,Brioche Nanterre - METADE DO PREÇO,158,Pães Finos,,,
76,MBBBG,Mini Brioche Burger Bun c/ Gergelim - Unidade,130,Pães Finos,,,
