route,view,methods,source,line,sha256,facade_calls
catalog/,CatalogMatrixView,get,shopman/backstage/api/catalog.py,47,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,
catalog/ai-assist/,CatalogAiAssistView,post,shopman/backstage/api/catalog.py,217,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,catalog_service.ai_assist_field
catalog/bulk-price/,CatalogBulkPriceView,"get,post",shopman/backstage/api/catalog.py,315,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,
catalog/bulk/,CatalogBulkView,"get,post",shopman/backstage/api/catalog.py,321,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,
catalog/cell/,CatalogCellView,"get,post",shopman/backstage/api/catalog.py,57,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,catalog_service.set_cell
catalog/product/,CatalogProductView,"get,patch,post",shopman/backstage/api/catalog.py,196,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,catalog_service.get_product_detail;catalog_service.update_product_detail
catalog/product/<str:sku>/,CatalogProductDetailView,"get,patch",shopman/backstage/api/catalog.py,124,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,catalog_service.get_product_detail;catalog_service.update_product_detail
catalog/promise/,CatalogPromiseView,get,shopman/backstage/api/product_promise.py,40,3122f2bc8b6f556550c89d9ae936b132aa7e1e86af31d39960829fa11704eaa9,
catalog/promise/<str:sku>/,ProductPromiseView,get,shopman/backstage/api/product_promise.py,62,3122f2bc8b6f556550c89d9ae936b132aa7e1e86af31d39960829fa11704eaa9,
catalog/reorder-collections/,CatalogReorderCollectionsView,"get,post",shopman/backstage/api/catalog.py,397,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,catalog_service.reorder_collection_items;catalog_service.reorder_collections
catalog/reorder-items/,CatalogReorderItemsView,"get,post",shopman/backstage/api/catalog.py,402,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,catalog_service.reorder_collection_items;catalog_service.reorder_collections
catalog/resync/,CatalogResyncView,"get,post",shopman/backstage/api/catalog.py,448,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,catalog_service.apply_resync_intention;catalog_service.resync_snapshot
catalog/social/,CatalogSocialView,"get,patch,post",shopman/backstage/api/catalog.py,419,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,catalog_service.get_product_detail;catalog_service.update_product_detail
catalog/sync-status/,CatalogSyncStatusView,get,shopman/backstage/api/catalog.py,407,455d1b901fbee5a88406577c83da682dd65522c7300404120199fee38cfb2fe0,
feeds/,FeedBoardView,get,shopman/backstage/api/feeds.py,79,4570437bae3a85e7f11cb6764fd9ae65cced079319694dc20bdcbbdc3978b2c4,
feeds/active/,FeedActiveView,"get,post",shopman/backstage/api/feeds.py,86,4570437bae3a85e7f11cb6764fd9ae65cced079319694dc20bdcbbdc3978b2c4,feed_service.set_active
feeds/collections/,FeedCollectionsView,"get,post",shopman/backstage/api/feeds.py,98,4570437bae3a85e7f11cb6764fd9ae65cced079319694dc20bdcbbdc3978b2c4,feed_service.set_collections
feeds/rotation/,FeedRotationView,"get,post",shopman/backstage/api/feeds.py,111,4570437bae3a85e7f11cb6764fd9ae65cced079319694dc20bdcbbdc3978b2c4,feed_service.set_rotation
orders/,OrderQueueView,get,shopman/backstage/api/operations.py,1515,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,
orders/<str:ref>/,OrderDetailView,get,shopman/backstage/api/operations.py,1482,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.find_order
orders/<str:ref>/advance/,OrderAdvanceView,"get,post",shopman/backstage/api/operations.py,1614,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.advance_order;orders_service.find_order
orders/<str:ref>/assign/,OrderAssignView,"get,post",shopman/backstage/api/operations.py,2527,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.assign_order;orders_service.find_order
orders/<str:ref>/cancel/,OrderCancelView,"get,post",shopman/backstage/api/operations.py,1762,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,cancellation_service.authority_revision;cancellation_service.is_advanced_cancel;cancellation_service.operator_cancel_policy;orders_service.cancel_order;orders_service.find_order;orders_service.prepare_cancellation;pos_tabs_service.validate_manager_override
orders/<str:ref>/cancellation-reasons/,OrderCancellationReasonsView,get,shopman/backstage/api/operations.py,1841,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.cancellation_reasons;orders_service.find_order
orders/<str:ref>/comment/,OrderCommentView,"get,post",shopman/backstage/api/operations.py,2552,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.add_comment;orders_service.find_order
orders/<str:ref>/confirm/,OrderConfirmView,"get,post",shopman/backstage/api/operations.py,1705,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.confirm_order;orders_service.find_order
orders/<str:ref>/courier-cancel/,OrderCourierCancelView,"get,post",shopman/backstage/api/operations.py,2444,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.courier_cancel;orders_service.find_order
orders/<str:ref>/courier-dispatch/,OrderCourierDispatchView,"get,post",shopman/backstage/api/operations.py,2422,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.courier_dispatch;orders_service.find_order
orders/<str:ref>/courier-quote/,OrderCourierQuoteView,"get,post",shopman/backstage/api/operations.py,2469,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.courier_quote;orders_service.find_order
orders/<str:ref>/equipment-back/,OrderEquipmentBackView,"get,post",shopman/backstage/api/operations.py,1891,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.find_order;orders_service.mark_equipment_returned
orders/<str:ref>/notes/,OrderNotesView,"get,post",shopman/backstage/api/operations.py,2501,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.find_order;orders_service.save_kitchen_note
orders/<str:ref>/reject/,OrderRejectView,"get,post",shopman/backstage/api/operations.py,1726,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.find_order;orders_service.prepare_cancellation;orders_service.reject_order
orders/<str:ref>/requeue-fiscal/,OrderRequeueFiscalView,"get,post",shopman/backstage/api/operations.py,1913,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.find_order;orders_service.requeue_fiscal_emission
orders/<str:ref>/resend-payment-link/,OrderResendPaymentLinkView,"get,post",shopman/backstage/api/operations.py,1963,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,notification_service.resend_payment_link;orders_service.find_order
orders/<str:ref>/settle-delivery-cash/,OrderSettleDeliveryCashView,"get,post",shopman/backstage/api/operations.py,1860,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.find_order;orders_service.settle_delivery_cash
orders/<str:ref>/ticket-escpos/,OrderTicketEscposView,get,shopman/backstage/api/operations.py,2146,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,
orders/<str:ref>/unassign/,OrderUnassignView,"get,post",shopman/backstage/api/operations.py,2542,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,orders_service.find_order;orders_service.unassign_order
orders/tickets/,OrderTicketBatchView,get,shopman/backstage/api/operations.py,2188,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,
orders/tickets/escpos/,OrderTicketBatchEscposView,get,shopman/backstage/api/operations.py,2223,3ee840615155efaf78d65d0bdd10020ffb7df0d6d53e64918aa9cff11d85edf5,
